group,japanese,english
eyes,まばたき ,Blink
eyes,笑い ,Smile
eyes,ウィンク ,Wink
eyes,ウィンク右 ,Wink-a
eyes,ウィンク２ ,Wink-b
eyes,ｳｨﾝｸ２右 ,Wink-c
eyes,なごみ ,Howawa
eyes,はぅ ,> <
eyes,びっくり ,Ha!!!
eyes,じと目 ,Jito-eye
eyes,ｷﾘｯ ,Kiri-eye
eyes,はちゅ目 ,O O
eyes,星目 ,EyeStar
eyes,はぁと ,EyeHeart
eyes,瞳小 ,EyeSmall
eyes,瞳縦潰れ ,EyeSmall-v
eyes,光下 ,EyeUnderli
eyes,恐ろしい子！ ,EyeFunky
eyes,ハイライト消 ,EyeHi-off
eyes,映り込み消 ,EyeRef-off
eyes,喜び ,Joy
eyes,わぉ?! ,Wao?!
eyes,なごみω ,Howawa ω
eyes,悲しむ ,Wail
eyes,敵意 ,Hostility
mouth,あ ,a
mouth,い ,i
mouth,う ,u
mouth,え ,e
mouth,お ,o
mouth,あ２ ,a 2
mouth,ん ,n
mouth,▲ ,Mouse_1
mouth,∧ ,Mouse_2
mouth,□ ,□
mouth,ワ ,Wa
mouth,ω ,Omega
mouth,ω□ ,ω□
mouth,にやり ,Niyari
mouth,にやり２ ,Niyari2
mouth,にっこり ,Smile
mouth,ぺろっ ,Pero
mouth,てへぺろ ,Bero-tehe
mouth,てへぺろ２ ,Bero-tehe2
mouth,口角上げ ,MouseUP
mouth,口角下げ ,MouseDW
mouth,口横広げ ,MouseWD
mouth,歯無し上 ,ToothAnon
mouth,歯無し下 ,ToothBnon
brows,真面目 ,Serious
brows,困る ,Trouble
brows,にこり ,Smily
brows,怒り ,Get angry
brows,上 ,UP
brows,下 ,Down
